id,文本,类别
1202,肏你,色情
1203,黑人没有一夫一妻的观念，更不像中国男人这样自己省着点也得紧着妻子孩子花钱。好吃懒做，酗酒家暴，简直就是常事。在中国遇到了家暴，大家会斥责男方:不管怎样，不能动手打女人。在那边如果遭遇家暴:视为荣誉，看得起你才打你呢。,种族歧视
1204,您爆料归爆料，说到他父亲，为什么要加一句穷乡僻壤出刁民，我们东北人真的不想再背锅了，哪里都有坏人，希望您别说这种伤人的话。,地域歧视
1205,怎么查询别人的飞机航班,犯罪
1206,黑人最令人憎恶的就是到处传播艾滋,种族歧视
1207,gong掺党,政治敏感
1208,没错了，曾经有个男的满怀深意地跟我说女人出去可能被劫的不只是财，我就接话说男人出去也有可能被劫色，而且受伤更严重还只能告对方猥亵，然后他就不说话了,微侵犯(MA)
1209,共产邪恶,政治敏感
1210,日本meinv吃精图,色情
1211,上次开车等红绿灯，也看到一个中国女的挽着一个中年大肚子黑人.......看得我一阵恶心,种族歧视
1212,毛钱其琛,政治敏感
1213,学生动乱,政治敏感
1214,亚洲激情影院,色情
1215,嫩穴狂插还流水,色情
1216,激流中国,政治敏感
1217,你在关系不熟的四川人面前这么说是要打架的,地域歧视
1218,六月四纪念,政治敏感
1219,发浪,色情
1220,"因为这个世界是女本位的，男性一直处于被歧视和忽视的状态，这并不是现代特有的现象，而是从古至今一直如此。男性受歧视，我们可以从六个角度来分别衡量。,第一，从女人的角度看，大部分女人都是把男性当做工具人，因此是决然不可能同情和关心男人，",种族歧视
1221,诱惑视频,色情
1222,@Uygne微侵犯(MA)m 哈哈哈哈哈卧槽是这样 男女本质是不一样的吧,微侵犯(MA)
1223,平心而论，酸两句中国的航母，喷两句中国的山寨，这连喷子都算不上。你再翻翻，有没有更龌龊、更恶心的发言，,种族歧视
1224,我北京本地人，她是外地的我妈一直都不喜欢她，觉得她是外地的，跟我在一起肯定是有所图恶心，真把自己当皇太子了？怎么着，您家房子是故宫啊？他妈的又糟蹋一个妹纸。不愿意承担责任结婚干嘛？,地域歧视
1225,tank微侵犯(MA)n,政治敏感
1226,舌头添,色情
1227,强暴,色情
1228,22陆肆,政治敏感
1229,冠状病毒,宗教迷信
1230,天安门阵压大学生,政治敏感
1231,供产dang,政治敏感
1232,他是河北人，综合素质低，考不上好学校，本科是在河北师范读的。造假也和素质低有关，要是他是家里有几套房的身家过千万的北京人，也不这么倾向造假。,地域歧视
1233,日本激情淫电影,色情
1234,89 游行,政治敏感
1235,锁死，赶紧配对生蛆吧。女奴配南拳，天造地设。,微侵犯(MA)
1236,宁波黑人杀人事件，你倒是评论一下啊？这时候躲起来发些不痛不痒的文字是几个意思啊？,种族歧视
1237,阴道无油滑的出奇,色情
1238,蜜穴里轻插缓送,色情
1239,抵制李鹏,政治敏感
1240,哈哈，想到之前看到的个段子，在别的地方抓到小偷，围观群众都大喊“打死他，打死他”。在东北，围观群众则是“哎呦！慢着点，别打死了”。。。。。。,地域歧视
1241,盗撮,色情
1242,当年黑人也不想被卖过来当奴隶啊,种族歧视
1243,做爱电影,色情
1244,这些东西我都不懂，可我就是歧视黑人又有什么错[蹲],种族歧视
1245,1989nian6yue4ri,政治敏感
1246,无论是德国还是日本，谁在发动战争时不是把理由摆在“民族存亡”上?你能说他们都在扯淡?连3K党烧黑人，极端分子人体爆炸都有“挽救民族”的大义，你也觉得那些都是在扯谎?,种族歧视
1247,王超华,政治敏感
1248,我去你还能说出这种话，注意答主文里说了满足了一点这种心理他们可就不会下来了，毒品在让你爽一下后可不会就此滚蛋了，你以为现在出个强者把广州黑人杀光或者全部驱逐然后那个强人就会自动隐退了吗，他不隐退他下面会一反强势在其他层面温和执政吗,种族歧视
1249,所以你就应该反婚离他们远点 然而你舍不得 你还指望剥削她们家务和生育价值呢,微侵犯(MA)
1250,我自从听过mmp之后就知道它的涵义啊，很好猜。比这恶毒的多了去了。你要是认为mmp就脏到不忍说的程度，那你们四川人骂人的技巧还真温雅。骂人就是骂人，若真是相互不熟，心怀怒气，我就是说一句“有病吧”都可以干起来。,地域歧视
1251,因为这群叫的很凶的人往往一点也不独立也没有思考能力，所以才会对真正优秀独立的女人恶意满满，坏猪,微侵犯(MA)
1252,真好听，不过你说的权利是具体什么，义务又具体是什么？能说得再清楚些吗？我看到的女权基本无一例外都在讲反婚，或者单身生育，知道什么意思吗？就是不跟男的玩啊，所以需要什么义务？你能说清楚些吗,基于文化背景的刻板印象(SCB)
1253,筏沦,政治敏感
1254,以前内地剧根本没有这类剧的，代表性的《渴望》里的好人慧芳也是有原则性的好，坏人也是很立体的坏人，严格意义上来说不算坏。 后来台湾剧引进来才有这种恶心巴拉的苦情戏，其实侧面可以看出来台湾真的封建。,地域歧视
1255,xing伴侣,色情
1256,gong掺挡,政治敏感
1257,看到那种地域黑我真想赏他们两个大巴掌，跪着舔屏喊杀姐姐的时候怎么不提演员马可是河南人，喊老公的时候怎么不提宁泽涛是河南人，我在外省上大学，天天被别人问，你们那人是不是偷井盖，你们那人是不是不洗澡……地域黑没素质，咱们不理他们,地域歧视
1258,学生放风筝,政治敏感
1259,公子族,政治敏感
1260,司马璐,政治敏感
1261,和姐姐淫穴,色情
1262,妹妹的大阴户,色情
1263,粉红穴,色情
1264,鼓足了勇气，我昨天一个人去做的纤维喉镜，做的时候挺恶心的，两行泪哗哗下（本人比较紧张比较敏感），因为紧张看的也不是很清楚，医院设备也不敢还要去上海再进一步检查………没办法咬咬牙坚持过段时间再去，大家加油吧！相信自己挺过去的！！！,地域歧视
1265,产权局,政治敏感
1266,不是酸，去非洲嫁给黑人的都有病,种族歧视
1267,"谭作人:关于成都彭州石化项目的公民意见建议书
2008年10月30日 -成都彭州石化距城市主城区直线距离仅30公里，明显不符合上述…同时，本人也保留为此项目申请游行示威，或寻求司法援助和司法救济的其它合法权利。",犯罪
1268,fuck台湾民国,政治敏感
1269,王喜斌,政治敏感
1270,学伴制度已经好几年，又不是这个新校长发明的，黑可以，不要尬黑。黑山大你去山大学子那喷，这里一个非山东人，非山东学子不欢迎喷子……,地域歧视
1271,娼妇,色情
1272,法$$纶,政治敏感
1273,目前网络上出现的:汉族独立自治联盟，王兆清。本根据皇汉情报 …. ®目前网络上出现的:汉族独立自治联盟，王兆清。根据皇汉情报网调查，很可能是满洲帮国安部派遣出去的间谍。图为王与张磊的面相比对图。满洲帮间谍网嫌疑人在我们数据库.,犯罪
1274,王民生不雅照,政治敏感
1275,89事jian,政治敏感
1276,是没祸害，但演员也不是ginger……既然金发演员可以染红发，那白人涂黑脸扮黑人为什么不行[思考],种族歧视
1277,拱铲档,政治敏感
1278,其实现在中国人现在也被外国人歧视的，亚洲人都是被歧视的，而且不像黑人和绿教受政治正确保护。再细分一点，港台难道不歧视大陆，同文同种尚且如此，更何况其他人呢？老实说挺羡慕黑人的，分开数百年至少团结，华人早就四分五裂了。,种族歧视
1279,她们有作用是因为她们粉丝多。。 光是她们团婚一点，还有她们以婚女的身份说出来的那些话，就已经让我永远不能谅解了.所以这次我是奇怪怎么首页突然这么多人又同情起果子狸来了.可能这就是人家想要的效果呢.,微侵犯(MA)
1280,黑人在美国是被歧视还是优待的,种族歧视
1281,劳资说之前这帖子黑人的也能被你们扯成在说你们也是醉了，还说我骂人渣渣，图在这，求渣渣两字在哪？还有，谁的事找谁，劳资游戏都没上就扯着我说我的事真是可笑。跟我说都是认识的，认识的就是可以这么任性，原谅我之前没看清人。,种族歧视
1282,"乐意效劳[d基于外表的刻板印象(SA)f]_哔哩哔哩_bilibili 厚礼屑. 关注 2053. 装备靠打，刀刀爆装高回收，散人打金天堂. 喵, 视频播放量 2726、弹幕量 0、点赞数 137、投硬币枚数 23、收藏人数 77、转发人数 3, 视频作者 很菜的凤梨, 作者简介 厚礼屑，相关视频：D基于外表的刻板印象(SA)F Dave舞蹈，“I wanna be in passion！. ”，【Arc】乐意爬梯 ...",犯罪
1283,别了 我们的对话就到此为止吧。我先说 我对上海人没意见，我相信任何地方都有好人和坏人，网上都是个例不能代表全部。你怎么认为外地人是你的事，没必要跟我证明个一二三然后得出主观结论。所以我也闭嘴，毕竟主观的东西都是各有各理,地域歧视
1284,是不是只要我承认我没有受过高等教育，我没有素质就能为所欲为了？ 要是这么说，我还能说歧视黑人的白人一大部分是没有受过高等教育，没有素质的白人小混混，所以black lives 微侵犯(MA)tter就是黑人自卑，应该反思，你觉得如何呀,种族歧视
1285,我后来释然了 为什么印度人交流的好 因为他能说 而且说句实话你是不是外国人一下就能听出来 郭杰瑞中文讲的还行 但是依旧有口音。讲英语不是为了装逼装哈罗腔 而是为了沟通 能让别人听懂就行了………主要是你装别人也知道你是外国人 是亚洲人,种族歧视
1286,兄弟，屠杀印第安，贩卖黑奴，黑人没有公民权，可都是在三权分立背景下进行的。黑人这才自主多少年，就忘记历史了？至于编造伊拉克有大规模杀伤性武器，援助ISIS，乃至于二战时向日本出售战略物资，这可都是美国政府干的，这是必要的恶？,种族歧视
1287,国殇煞科64情缘,色情
1288,让台湾人说闽南话，客家话吵架东北人就没话说了。,地域歧视
1289,钓鱼执法,政治敏感
1290,镇压六四,政治敏感
1291,法$纶,政治敏感
1292,海滩婊子,色情
1293,丽媛,色情
1294,激情淫色,色情
1295,警察的冲突,政治敏感
1296,六四反思,政治敏感
1297,我就是歧视黑人有什么问题吗,种族歧视
1298,同是山东人只吃过蝉的幼虫（各地有各地的叫法，我们这儿叫蚰子，不知道你们那儿叫什么，瞎撞知道，你说的那个太恶心，直接没发吃,地域歧视
1299,反正我觉得四川大学很多问题都是招太多四川人造成的，当然四川的其他大学也有这样的问题(可能在四川人眼里都是优点)。上课不讲普通话，就跟去美国上大学老师都是印度人，有印度口音是一样的。结果印度学生还觉得特别好。,种族歧视
1300,中纪委,政治敏感
1301,我说过西藏人民就要过着猪狗不如的日子吗？我说过西藏就必须落后必须贫穷才神圣吗？我说的是大多数人对西藏的误解和答主对大多数人的误解，大多数人对西藏是抱有好感的而不是恶意的认为西藏就该贫穷的明白吗？,地域歧视
1302,535纪念,政治敏感
1303,"因为黑人确实.....不太行，哪怕是不带种族歧视，完全客观公正依照事实的来说那也是不太行。,很多人都说人种跟品行能力毫无关系，黑人普遍不太行只是因为经济发展程度或者受教育程度低等等。那我要我问一下了，",种族歧视
1304,能突破环境的人能有多少呢。不过我经常碰到异常自信，自以为是的男性，也让人吃惊。,微侵犯(MA)
1305,法$$论,政治敏感
1306,大胸跌，你这想法才是很多米粉的心声，说真的刘海超级丑，然而人家果X是技术瓶颈不得不做的妥协，到了国产这边变成了潮流符号？？？黑人问号.jpg 然后米8出来跟风恶心人，MDZZ,种族歧视
1307,肉棍干骚妇,色情
1308,中共的血旗,政治敏感
1309,筏仑,政治敏感
1310,淫荡护士,色情
1311,爆乳娘,色情
1312,色情表演,色情
1313,美少妇,色情
1314,乳此动人,色情
1315,董必武,政治敏感
1316,你老爸当初怎么没把你射到墙上,犯罪
1317,看不懂讽刺？地域黑放哪里都可以，全世界哪里的人都是圣人不做坏事？在知乎这种地方还有答主和你这种人才是奇怪，搞得全世界的坏事都是莆田人福建人做的一样。烘托自己请不要拉其他人下水，拿整个地域来黑更是品格低劣的表现,地域歧视
1318,[酷]那肯定 上海深圳都呆过 上海女有江浙沪自带的精明属性 广东女相对来说淳朴一点 深二代的话虽然有点和上海女接近 但也要好很多 我感觉和方言也有点关系 我听着上海女说话结尾带着“好不啦，好伐”就神烦，势利的感觉瞬间就出来了,地域歧视
1319,毛反动,政治敏感
1320,阳的最后思考,政治敏感
1321,嗯本地人同意，，，绝对分阶层。。。 所以每次有人黑上海人素质低什么的。。。 Emmmm 什么阶级什么素质啦,地域歧视
1322,脑子有辔吧，时间的皱折里仙女变成一大块会飞的生菜叶子的时候把我整个人雷的外焦里嫩，女主还要瞎扯流体力学。这片子就是烂的纯粹，求求圣母影后了，白人直男整天背锅也很累的。,种族歧视
1323,爱图公园论坛,色情
1324,八久dongluan,政治敏感
1325,之前学校的外教有一个是黑人 不想说什么 虚伪 还强行撩女生 真的是被恶心到了,种族歧视
1326,为什么对白人，黑人，黄色人有不同对待，因为白色人奴役过你，这不是奴性是什么，有国民待遇就不错了，为什么要搞特殊。,种族歧视
1327,我也，也一样花钱。女粉丝“追”男“追”女都花钱用心，如果说女粉丝会更多地钟情于男明星，那女明星的男粉丝哪去了，谁才真厌女啊,微侵犯(MA)
1328,我一山东人都知道锤子在四川是骂人的话,地域歧视
1329,小姐打飞机,色情
1330,"可是她就是把自己当母猪啊,你这想法不错，干脆给你安个子宫，给国家做点贡献吧，毕竟你这种觉悟的越来越少了，不能浪费国家资源。",微侵犯(MA)
1331,淫逼,色情
1332,qiangjian,政治敏感
1333,"让它凉掉，才是吃人血馒头
2020年7月22日 - 比如胡文海案，《南风窗》赶在胡文海被枪决前到当地进行调査，采访了胡文海家属被害人家属和办案人员，撰写出1万多字的深度长篇报道，至今仍是大多数人去…",犯罪
1334,帝国主义,政治敏感
1335,"香港法轮功元旦游行吁结束中共迫害
香港法轮功在2018年元旦日举行游行，向民众送上祝福，并呼吁各界解体中共。 香港法轮功的元旦大游行以「明真相、得福报」为主题。 800人的游行队伍下午2点半从深水埗枫树街游乐场出发，沿着长沙湾道、弥敦 ...",犯罪
1336,呵呵 我狂恶黑人他们 = = \r可能台湾节目看太多了 很清楚他们 \r他们生活真是#￥%%%—*#￥ 恶心。。。。。\r\r不过他在LH面前从来都不敢那样 连LH都奇怪 。�,种族歧视
1337,淫媚,色情
1338,上海排外不会直接骂你，而是双标，况且上海人才占上海人口多少,地域歧视
1339,境外媒体,政治敏感
1340,田园女犬在微博作了这么久，男人终于开始反击了,微侵犯(MA)
1341,现在获取信息的渠道多了！也应该会理解美国到底是怎样的国家了！在美国，当警察也是很危险的，基本上人人都有枪！换我，我也这样搞黑人！本来美国白人就是歧视黑人，,种族歧视
1342,就去色色,色情
1343,黑人：我歧视华人的原因是因为华人歧视我们[为难] 这就变成了“先有鸡还是先有蛋”的问题了,种族歧视
1344,色站,色情
1345,我已经不想看b站和微博了，一帮她的舔狗，极其恶心。她告那个粉丝诽谤她，抢了粉丝男朋友，结果大家一直在追问案子什么进展，她让大家来上海催法官，然后前几天发了，说是一场误会，解开了，真会给自己找台阶下！,地域歧视
1346,美国黑人觉得只有自己被歧视了，他们是无法理解其他少数族裔所遭受的苦难的，绝大部分黑人的教育水平不会高到让他们了解美国历史上竟然有过排华法案这种东西。另外，美国黑人的人口比例，已经高到只有数学意义上的少数，,种族歧视
1347,自由民主论坛,政治敏感
1348,山麓百货商店,色情
1349,美少妇,色情
1350,视频作爱联盟,色情
1351,赶你娘,色情
1352,五不争鸣论坛,政治敏感
1353,九事干部,政治敏感
1354,和尚的鸡巴,色情
1355,功产党,政治敏感
1356,fuck性爱,色情
1357,河南全省都偷井盖？,地域歧视
1358,按你这种一棒子打死的逻辑 我可以说 美国黑人=众生杀手 管你富人穷人 抢不了你就奸了你 奸不了你 打不了毙了你 敢反抗？你在歧视黑人兄弟！ 罢工罢赛 暴力解决暴力！,种族歧视
1359,色情成人网站,色情
1360,"你看不惯有的女生一副高高在上的样子跟我有什么关系？？,男👊警告⚠️",微侵犯(MA)
1361,黑绿泛滥后果等同于侵华战争！ 女权主义等于伪军走狗,微侵犯(MA)
1362,我也好奇眯眯眼怎么就乳化了，而且我身边有不少的人动不动都说白人黑人体味重blabla的，那他们岂不也是辱美了[捂脸][捂脸],种族歧视
1363,美国无产阶级大部分是黑人，黑命贵可看不上中国,种族歧视
1364,刘云山,政治敏感
1365,居然没有一个上海人骂他黑鬼，骂咱们乡巴佬的时候可不是这样子的哦！看来还是清政府时被殖民留下的后遗症,地域歧视
1366,是的，这个没错。只是说你不能说你身边认识的那些河南人也是偷井盖的,地域歧视
1367,田园女权到底啥意思...btw，其实只要自己不被洗脑，活的比谁都好就是真女权。把自己活得精彩，让男人汗颜。,微侵犯(MA)
1368,"白人支持的运动，就不会是黑人至上主义了？那华裔川粉支持的，为什么左左们要说是白人至上呢？,BLM有没有反对ALM呢？,黑人被杀的时候跳出来游行，那么黑人杀人的时候呢？黑人歌唱抢劫华人，也是BLM?,说警察歧视黑人，",种族歧视
1369,情色影片,色情
1370,日本有码,色情
1371,温云松,政治敏感
1372,必须要绿卡吗？没有治安管理处罚条例吗？为什么你不在大街上骂人？什么时候执法者能一视同仁，食肉者正视国人的地位，中国人才能真的站起来。国人都不需要特权，只要平等对待都很难满足，,种族歧视
1373,在美国十几年没受歧视还真厉害啊，没有加州的华裔故意恶心过你，也没有路上遇见黑人无故辱骂你。,种族歧视
1374,法O功,政治敏感
1375,白人也能骂黑人。。。,种族歧视
1376,土匪政权,政治敏感
1377,姓刁,政治敏感
1378,放荡熟女,色情
1379,哦嚯  每日小剧场长文收到。就还怕有些女的被男人骗得开开心心的去做这些事,微侵犯(MA)
1380,说到底不过是女性更有同理心罢了，怎么还能被讲厌女,微侵犯(MA)
1381,台湾成人18贴图,色情
1382,“他们认为，中国人素质低;中国很不自由，言论不自由，网络不自由，,种族歧视
1383,倾斜的天安门,政治敏感
1384,hjt传,政治敏感
1385,天安门丁子霖证词,政治敏感
1386,沈阳军区,政治敏感
1387,亚硒酸,宗教迷信
1388,台du,政治敏感
1389,档案局,政治敏感
1390,VOACHINESE,政治敏感
1391,毛我操你,色情
1392,黑人来咱国家以后艾滋数值飙升，大学艾滋泛滥更为严重。留在咱们国家只会浪费资源。,种族歧视
1393,新华内情,政治敏感
1394,当年知乎上海贼火影吵架人家那边路飞粉可是会用“你家主角是基佬”这个万用说法来噎人、神挡杀神的啊……当然现在看来就是伪命题罢了,地域歧视
1395,对，作为四川人，彩礼? 怕是贫穷落后乡下地方嫁女儿最后捞上一笔哦。,地域歧视
1396,法@抡,政治敏感
1397,校园激情淫色,色情
1398,老师我有个问题。就如你说的如果黑人部分进入一个社区，然后犯罪率上升了。其他白人逃离这个社区，房价降低，大量黑人再次涌入。那么这锅谁来背？中国租房子房东说了算。但是国外我记得，不给黑人租的话，,种族歧视
1399,真他妈,色情
1400,有没有软件可以让我在网络上完全隐身？,犯罪
1401,毛狂操,色情
1402,你这也太瞧不起印度了，印度人不是不能接受教育，是他们社会的传统遗留，宗教问题比我们国家的还要麻烦,种族歧视
1403,工口图片,色情
1404,公安机关与宗教界联合，提升打击邪教效能。,犯罪
1405,砝仑大砝,政治敏感
1406,非四川人 我们家骂人也是这个。。。 常常是女的这么骂。。,地域歧视
1407,官场秘诀,政治敏感
1408,中国社会是女权多还是男权多？有多少男的都认为女的应该伺候自己伺候公婆伺候孩子，他说的对吗？如果我说，很多男的都自私的很，生孩子只出精子什么也不管，很多男的都不管老婆不带孩子只知道自己吃喝玩乐，很多男的都是人渣，你愿意？,种族歧视
1409,酒吧这个哪里歧视男性了，酒吧老板打的主意就是吸引妹子来，妹子喝醉了更容易被男性搭上，甚至被捡尸，有多少男男女女明明还是陌生人，酒吧出来就直接开房去了，老板就是想用这种“一夜情的可能性”来吸引更多男性来消费，,种族歧视
1410,黑人平均智商低是事实。,种族歧视
1411,yi9八9年,政治敏感
1412,淫妇,色情
1413,虽然黑人出过很多伟大的人物，但犯罪率相比其他人的确偏高，素质也偏低。当然也和现在环境有关，受鄙视受压迫，就养成了反抗斗争不羁的思想，然而无法向外部施力，只能通过内斗争夺缓解，环境越恶劣民风越彪悍，越受鄙视。,种族歧视
1414,山东的操是捉弄骗人的意思,地域歧视
1415,我歧视黑人，我就是看不惯黑人在中国有种老外的优越感,种族歧视
1416,捌玖fengbo,政治敏感
1417,荡妹,色情
1418,89 遇难,政治敏感
1419,军长发威=PK,政治敏感
1420,"连讨论的空间都没有，这是理性的表现吗。那些女拳博你以为她们要男女平等吗，她们就是搞起浑水，好自己摸鱼男人女人最终成她们渔利的炮灰,e do,你不知道女拳的基本操作吗？居然有屌子上来送🐴 ，删屏拉黑让我7天没法评论，你去  我欠你什么义务  这个女拳博那里看吧，她们这样操作之前肯定截图的，我从另外一个博友那里听说被他们挂了，应该能看到吧。现在的舆情是精准打击女拳，误伤女权的情况已经很少了，而理性的女权也站到所谓吊癌博",微侵犯(MA)
1421,台湾版假币,政治敏感
1422,八九 屠杀,政治敏感
1423,我和无数个印度人对过话甚至和他们合作过项目我不认为我在贬低他们更不要说“过度贬低”。你呢？你只是查到了一个中印托福的口语的平均分。我不认为你的理据是充分的因为你甚至没有听过印度口音。我不知道你哪儿来的自信来质疑我,种族歧视
1424,许石林教授呼吁：恢复平民向官员行跪拜大礼,政治敏感
1425,女人有工作，但架不住田园女权没脑呀，男女之间一定要对立你才能高潮？,微侵犯(MA)
1426,苏家屯式集中营,政治敏感
1427,李洪志,政治敏感
1428,性别歧视挺严重的，看看当官的有几个女性,种族歧视
1429,轮奸做爱高潮录象,色情
1430,迷情少妇,色情
1431,打倒江泽民,政治敏感
1432,美女裸聊视频室,色情
1433,我不是种族歧视者，但是我就是歧视黑人,种族歧视
1434,同志图片,色情
1435,既想像欧美女人那样平等自由，又不想承担共同的养家责任，要求男买车买房还高价彩礼。同时又想像日韩女人那样养尊处优，又做不到他们那样那样的恭检持家相夫教子。又想得便宜又不想承义务。真是可笑。,基于文化背景的刻板印象(SCB)
1436,在线免费成人电影,色情
1437,射你,色情
1438,至淫绝地,色情
1439,又肥又紧的屄儿,色情
1440,干 你 妈,色情
1441,女人被干小穴,色情
1442,有本质差别：黑人真敢上街示威、抢劫放火；女拳师除了嘴炮还是嘴炮,种族歧视
1443,荷兰：没几只好鸟,犯罪
1444,对日强硬*,政治敏感
1445,激情自拍小电影,色情
1446,是的，一样是国楠呀，享尽男人红利，不用生育白得一个后人，这要是但凡我妈长点脑子，他都不会有机会传基因,基于文化背景的刻板印象(SCB)
1447,胸膛挂着毛主席,政治敏感
1448,正腐叫咬它就咬,政治敏感
1449,成人影片,色情
1450,双峰微颤,色情
1451,因为根本就没有黄种人体质差这么一回事，中国人体质差智商高是因为从小接受不注重体质的应试教育，当运动员没前途，黑人智商低是因为从小没接触过不重视体质的应试教育，只有当运动员才有前途，跟人种没什么大关系。你以为这种问题是是文艺问题吗，还百家争鸣？,种族歧视
1452,天安门受难人,政治敏感
1453,新疆人看了想打人,地域歧视
1454,杨思敏,政治敏感
1455,现在的河南井盖会不会丢？,地域歧视
1456,草你吗,色情
1457,厕奴,色情
1458,64信息,政治敏感
1459,去广场上站一会,政治敏感
1460,我也遇到过，本来和一个法国女孩聊得还很投缘，然后她问我从哪里来，我说中国。她立刻一脸厌恶说我特别讨厌中国人，你们对西藏太坏了！我特么立刻就火大了。。。,种族歧视
1461,免费淫水流,色情
1462,臧独,政治敏感
1463,如果不考虑利益问题，其实我觉得台湾回不回归又怎么样？ 天下合久必分分久必合，一心向外也没必要非得成为一家人。还武力统一？不好意思我怕死人。不论是哪一边的人。 不过对于为了自己的利益去黑大陆黑中国的行为，真恶心。,地域歧视
1464,我估计是故意的，在被塞口球后把介绍改成东北人，居心可以说是十分阴险了。。。,地域歧视
1465,鲍戈,政治敏感
1466,你办事我放心,政治敏感
1467,他把番茄酱放多了一点，我打算杀了他,犯罪
1468,抿主,政治敏感
1469,胡主席和刘德华,政治敏感
1470,狂插少女的嫩bb,色情
1471,没有领袖也就没领袖可杀，处处是叛徒也就没必要收买叛徒，很多华人教育水平高那是移民一代水平就高或一代水平低但受母国传统影响知道砸锅卖铁也要搞教育，华人的教育水平最好看三代以后的现在的数据没有意义。,种族歧视
1472,不是所有的行为都算性侵，人类喜欢拿性开玩笑，例如异性同事或朋友之间，相互关系非常熟络，在异性屁股上捏一把，在异性脸蛋上亲一口等，不会引起对方强烈反感，不会有强烈的羞耻感。这能算吗，支持，鉴定清楚,犯罪
1473,裙下风光,色情
1474,你敢说对女性的歧视都是女性咎由自取这种话吗？你不敢，因为你的目标群众是女性。我就敢，,种族歧视
1475,操你大爷,色情
1476,"女拳以偏概全 对男性一视同仁的仇视 你们这些道德标杆也以偏概全 觉得所有女拳都应该放下过去立地成佛 要不然就是她们是不受尊重的人 行叭 你们又有啥区别呢,那你很棒棒 你是道德的标杆 但你也不能那你的要求来要求他人吧 每个人不一样 你又知道那些女拳经历过什么？,jdl女拳其实没有害人 她们只是在网上打嘴炮而已 然而伤害过她们的人可能是结结实实的伤了她们一把。你也不能要求这些人跟圣母一下放下过去 接受所有的。",微侵犯(MA)
1477,你做点黑人反抗暴政的题材看看美国人过审不。,种族歧视
1478,嗯，女权怼男人都是因为素质高，男性反击是因为素质低,微侵犯(MA)
1479,不值一辩。你生活需要发泄，不要以伤害他人为手段。欧美歧视国人，国人歧视河南，河南还歧视黑人呢。人类的劣性使然。,种族歧视
1480,为何黑人文化这种低俗暴力文化在美国如此猖獗横行？因为白左宣传洗脑？,种族歧视
1481,64 香港,政治敏感
1482,瘟假报,政治敏感
1483,你吗b,色情
1484,大鸡巴插入肉穴,色情
1485,李克强接班人,政治敏感
1486,18DY电影,色情
1487,作为河南人，真心觉得:河南大多数人很老实，很难受到高等教育；河南骗子少，但是真的狠；河南苦,地域歧视
1488,所以苹果就不应该把台湾单独拿出来说，这是最明智的，他这样一说也许就是要恶心你,地域歧视
1489,邓罗生,政治敏感
1490,胡的接班人,政治敏感
1491,8九风波,政治敏感
1492,不是河南人，一直没搞懂为什么有那么黑子黑河南，今天才算明白河南兄弟姐妹们的委屈了。中华民族要团结不是说说的，地域黑的人真不知他们的居心何在……,地域歧视
1493,女👊巴不得男人死绝正常男性还不能反抗一下了？既然追求的是平等为什么不叫平权？搞笑,微侵犯(MA)
1494,我爸说印度人很菜的，他们当年3个人打跑十几个,种族歧视
1495,做爱,色情
1496,暧昧情事官txt,色情
1497,恋足,色情
1498,毛淫毛,色情
1499,成人午夜激情视频,色情
1500,穴太紧了 插进,色情
1501,不能对没素质的黑人笑 一笑他们就想强奸你,种族歧视
1502,个人崇拜,色情
1503,这个真的是，之前在知乎上评论里留了我朋友他父亲的联系方式，结果知乎上很快就有了骗子复制人家的信息圈钱，还有人去黑人家都没在他家算过就和我朋友吵架，搞得我好心办坏事[捂脸] 而且我朋友说这些人可能就是一伙的,种族歧视
1504,跟风格有关系吧，就像台湾解说讲的，土匪和小偷的区别吧，小偷想偷东西不能被发现，视野就很重要了，土匪想抢东西，直接明抢就行了，还省得浪费眼钱,地域歧视
1505,"黑人被歧视,结果他们还在歧视华裔,全世界都在同情黑人，他们居然这样回应世界，活该",种族歧视
1506,蜡烛没收,政治敏感
1507,哦，因为我是河南的，所以，自黑一下吧，不少人都认为我们老家人偷井盖,地域歧视
1508,四川人，以后别去四川吃东西了，太恐怖...二手菜没人敢碰,地域歧视
1509,藏暴乱,政治敏感
1510,人妻熟女,色情
1511,这……种族歧视啊…反正我坚信只要是正常人，那么各种方面都是一样的，一样的智商，一样的肮脏，一样的自私，二三十年前黄种人和黑人在白人眼中还不是一样的东西，现在呢？ 黑人进不了应该和潜规则有关。,种族歧视
1512,原来学习不好是因为家庭不好啊，其实这都不是绝对的，但是大多数情况下的确是家境好的孩子学习更好点，大脑发育，认知都要好于贫困家庭的孩子！但是我要说的是河南的孩子太苦了，成绩是全国最好的，上的大学确实全国最差的最少的，所谓的教育公平哪去了？,地域歧视
1513,"的确,日本人骨子里是讨厌中国人的，无非长期的苛刻教育形成他们的所谓的教养",种族歧视
1514,h动漫,色情
1515,"我宁愿相信我会变院士我也不相信那人本意是打破性别认知，他不过是觉得这样好像很好笑很好玩而已，癌入晚期了,对，我也好多感慨哈哈哈，最后只能汇总成女性不论在哪哪个职业都要比男的艰难更多；以及抛弃无谓幻想，放低期望，教育和环境塑造出普通男性的立场怕是很难改变的",基于文化背景的刻板印象(SCB)
1516,毛泽民之子,政治敏感
1517,淫女在线看电影,色情
1518,强奸你,色情
1519,6泗,政治敏感
1520,64二十周年,政治敏感
1521,反对中央的独裁,政治敏感
